(128, 4, 50)
Tensor("sigmoid/Wx_plus_b/Tensordot:0", shape=(128, 4, 2), dtype=float32)
step 1941, training accuracy -4.35114e-05
step 1951, training accuracy -4.4167e-05
step 1961, training accuracy -4.52399e-05
step 1971, training accuracy -4.64916e-05
step 1981, training accuracy -4.75049e-05
step 1991, training accuracy -4.82202e-05
step 2001, training accuracy -4.91142e-05
step 2011, training accuracy -4.98295e-05
step 2021, training accuracy -5.01275e-05
step 2031, training accuracy -5.06043e-05
step 2041, training accuracy -5.126e-05
step 2051, training accuracy -5.1558e-05
step 2061, training accuracy -5.22137e-05
step 2071, training accuracy -5.26309e-05
step 2081, training accuracy -5.33461e-05
step 2091, training accuracy -5.37634e-05
step 2101, training accuracy -5.41806e-05
step 2111, training accuracy -5.45382e-05
step 2121, training accuracy -5.49555e-05
step 2131, training accuracy -5.49555e-05
step 2141, training accuracy -5.53727e-05
step 2151, training accuracy -5.53727e-05
step 2161, training accuracy -5.62072e-05
step 2171, training accuracy -5.65052e-05
step 2181, training accuracy -5.65052e-05
step 2191, training accuracy -5.65648e-05
step 2201, training accuracy -5.66244e-05
step 2211, training accuracy -5.6684e-05
step 2221, training accuracy -5.68032e-05
step 2231, training accuracy -5.68032e-05
step 2241, training accuracy -5.71609e-05
step 2251, training accuracy -5.73397e-05
step 2261, training accuracy -5.73397e-05
step 2271, training accuracy -5.75185e-05
step 2281, training accuracy -5.76377e-05
step 2291, training accuracy -5.76377e-05
step 2301, training accuracy -5.79357e-05
step 2311, training accuracy -5.81741e-05
step 2321, training accuracy -5.82933e-05
step 2331, training accuracy -5.82933e-05
step 2341, training accuracy -5.84125e-05
step 2351, training accuracy -5.88894e-05
step 2361, training accuracy -5.90682e-05
step 2371, training accuracy -5.9247e-05
step 2381, training accuracy -5.9247e-05
step 2391, training accuracy -5.90086e-05
step 2401, training accuracy -5.90086e-05
step 2411, training accuracy -5.91278e-05
step 2421, training accuracy -5.93662e-05
step 2431, training accuracy -5.91874e-05
step 2441, training accuracy -5.91874e-05
step 2451, training accuracy -5.96642e-05
step 2461, training accuracy -5.96642e-05
step 2471, training accuracy -5.96642e-05
step 2481, training accuracy -5.99623e-05
step 2491, training accuracy -5.96046e-05
step 2501, training accuracy -6.00815e-05
step 2511, training accuracy -6.02007e-05
step 2521, training accuracy -6.03199e-05
step 2531, training accuracy -6.05583e-05
step 2541, training accuracy -6.06775e-05
step 2551, training accuracy -6.06775e-05
step 2561, training accuracy -6.11544e-05
step 2571, training accuracy -6.11544e-05
